term,count,level,name
GO:0005488,121792,1,binding
GO:0003824,76724,1,catalytic activity
GO:0097159,64507,2,organic cyclic compound binding
GO:1901363,63860,2,heterocyclic compound binding
GO:0043167,61066,2,ion binding
GO:0005515,52394,2,protein binding
GO:0003676,36317,3,nucleic acid binding
GO:0043169,35614,3,cation binding
GO:0046872,34936,4,metal ion binding
GO:0043168,32991,3,anion binding
GO:0036094,32051,2,small molecule binding
GO:0016787,30028,2,hydrolase activity
GO:0016740,29103,2,transferase activity
GO:1901265,28066,3,nucleoside phosphate binding
GO:0000166,28065,3,nucleotide binding
GO:0097367,26711,2,carbohydrate derivative binding
GO:0032553,24372,3,ribonucleotide binding
GO:0017076,24114,4,purine nucleotide binding
GO:0032555,23983,4,purine ribonucleotide binding
GO:0035639,23465,4,purine ribonucleoside triphosphate binding
GO:0140096,22791,2,"catalytic activity, acting on a protein"
GO:0008144,21801,2,drug binding
GO:0003677,21101,4,DNA binding
GO:0030554,19603,5,adenyl nucleotide binding
GO:0032559,19498,5,adenyl ribonucleotide binding
GO:0005524,19067,3,ATP binding
GO:0003723,14792,4,RNA binding
GO:0140110,14410,1,transcription regulator activity
GO:0019899,13807,3,enzyme binding
GO:0098772,13786,1,molecular function regulator
GO:0005215,13561,1,transporter activity
GO:0016491,13293,2,oxidoreductase activity
GO:0016772,12537,3,"transferase activity, transferring phosphorus-containing groups"
GO:0043565,12197,5,sequence-specific DNA binding
GO:0022857,12178,2,transmembrane transporter activity
GO:0046914,11415,5,transition metal ion binding
GO:0003700,11362,2,DNA-binding transcription factor activity
GO:0042802,11289,3,identical protein binding
GO:0016817,10156,3,"hydrolase activity, acting on acid anhydrides"
GO:0016818,10140,4,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
GO:0016462,10095,5,pyrophosphatase activity
GO:0005102,10072,3,signaling receptor binding
GO:0016301,9954,4,kinase activity
GO:0003690,9912,5,double-stranded DNA binding
GO:0048037,9521,2,cofactor binding
GO:0017111,9461,6,nucleoside-triphosphatase activity
GO:0015075,9094,3,ion transmembrane transporter activity
GO:1990837,9009,6,sequence-specific double-stranded DNA binding
GO:0060089,8966,1,molecular transducer activity
GO:0038023,8816,2,signaling receptor activity
GO:0015318,8810,3,inorganic molecular entity transmembrane transporter activity
GO:0016788,8786,3,"hydrolase activity, acting on ester bonds"
GO:0016773,8691,4,"phosphotransferase activity, alcohol group as acceptor"
GO:0044877,8551,2,protein-containing complex binding
GO:0001067,8470,4,regulatory region nucleic acid binding
GO:0000976,8456,5,transcription regulatory region sequence-specific DNA binding
GO:0030234,8082,2,enzyme regulator activity
GO:0046983,8016,3,protein dimerization activity
GO:0008092,7644,3,cytoskeletal protein binding
GO:0005198,7515,1,structural molecule activity
GO:0008270,7113,6,zinc ion binding
GO:0004672,7076,3,protein kinase activity
GO:0004888,6965,3,transmembrane signaling receptor activity
GO:0008233,6707,3,peptidase activity
GO:0008324,6562,4,cation transmembrane transporter activity
GO:0070011,6458,4,"peptidase activity, acting on L-amino acid peptides"
GO:0022890,6102,4,inorganic cation transmembrane transporter activity
GO:0000977,5746,6,RNA polymerase II transcription regulatory region sequence-specific DNA binding
GO:0000981,5746,3,"DNA-binding transcription factor activity, RNA polymerase II-specific"
GO:0008289,5707,2,lipid binding
GO:0004674,5448,4,protein serine/threonine kinase activity
GO:0005509,5378,5,calcium ion binding
GO:0016887,5150,7,ATPase activity
GO:0050662,5013,3,coenzyme binding
GO:0140098,4897,2,"catalytic activity, acting on RNA"
GO:0019001,4827,5,guanyl nucleotide binding
GO:0032561,4816,5,guanyl ribonucleotide binding
GO:0001882,4803,3,nucleoside binding
GO:0008134,4771,3,transcription factor binding
GO:0032549,4742,4,ribonucleoside binding
GO:0001883,4708,4,purine nucleoside binding
GO:0032550,4687,5,purine ribonucleoside binding
GO:0005525,4651,5,GTP binding
GO:0022804,4509,3,active transmembrane transporter activity
GO:0004175,4465,5,endopeptidase activity
GO:0042803,4305,4,protein homodimerization activity
GO:0019900,4304,4,kinase binding
GO:0042578,4113,4,phosphoric ester hydrolase activity
GO:0030545,4102,2,receptor regulator activity
GO:0015077,4083,5,monovalent inorganic cation transmembrane transporter activity
GO:0022803,4020,3,passive transmembrane transporter activity
GO:0015267,4019,4,channel activity
GO:0030546,3929,3,signaling receptor activator activity
GO:0048018,3901,4,receptor ligand activity
GO:0019904,3864,3,protein domain specific binding
GO:0019901,3862,5,protein kinase binding
GO:0000987,3843,6,cis-regulatory region sequence-specific DNA binding
GO:0003682,3822,2,chromatin binding
GO:0003735,3810,2,structural constituent of ribosome
GO:0046873,3784,5,metal ion transmembrane transporter activity
GO:0003924,3773,7,GTPase activity
GO:0004930,3772,4,G protein-coupled receptor activity
GO:0016757,3759,3,"transferase activity, transferring glycosyl groups"
GO:0003712,3679,2,transcription coregulator activity
GO:0051020,3634,4,GTPase binding
GO:0016829,3605,2,lyase activity
GO:0003779,3584,4,actin binding
GO:0000978,3549,7,RNA polymerase II cis-regulatory region sequence-specific DNA binding
GO:0019787,3517,3,ubiquitin-like protein transferase activity
GO:0003729,3475,5,mRNA binding
GO:0008047,3460,3,enzyme activator activity
GO:0005216,3416,4,ion channel activity
GO:0016746,3342,3,"transferase activity, transferring acyl groups"
GO:0004842,3299,4,ubiquitin-protein transferase activity
GO:0008509,3298,4,anion transmembrane transporter activity
GO:0016791,3229,5,phosphatase activity
GO:0005543,3204,3,phospholipid binding
GO:0004857,2941,3,enzyme inhibitor activity
GO:0022853,2913,4,active ion transmembrane transporter activity
GO:0016741,2873,3,"transferase activity, transferring one-carbon groups"
GO:0016747,2836,4,"transferase activity, transferring acyl groups other than amino-acyl groups"
GO:0033218,2829,2,amide binding
GO:0031267,2791,5,small GTPase binding
GO:0046906,2787,3,tetrapyrrole binding
GO:0016758,2749,4,"transferase activity, transferring hexosyl groups"
GO:0015291,2739,4,secondary active transmembrane transporter activity
GO:0015631,2738,4,tubulin binding
GO:0016705,2732,3,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"
GO:0017016,2712,6,Ras GTPase binding
GO:0016853,2687,2,isomerase activity
GO:0000287,2678,5,magnesium ion binding
GO:0008168,2630,4,methyltransferase activity
GO:0046982,2601,4,protein heterodimerization activity
GO:0005506,2600,6,iron ion binding
GO:0020037,2558,3,heme binding
GO:0005261,2538,5,cation channel activity
GO:0022836,2518,5,gated channel activity
GO:0016874,2484,2,ligase activity
GO:0030246,2433,2,carbohydrate binding
GO:0016614,2433,3,"oxidoreductase activity, acting on CH-OH group of donors"
GO:0004518,2403,4,nuclease activity
GO:0001216,2401,3,DNA-binding transcription activator activity
GO:0140097,2389,2,"catalytic activity, acting on DNA"
GO:0016798,2357,3,"hydrolase activity, acting on glycosyl bonds"
GO:0060589,2304,3,nucleoside-triphosphatase regulator activity
GO:0001228,2292,4,"DNA-binding transcription activator activity, RNA polymerase II-specific"
GO:0042277,2286,3,peptide binding
GO:0016616,2272,4,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
GO:0060090,2147,2,molecular adaptor activity
GO:0140297,2082,4,DNA-binding transcription factor binding
GO:0008017,2071,5,microtubule binding
GO:0008514,2044,5,organic anion transmembrane transporter activity
GO:0061659,2019,4,ubiquitin-like protein ligase activity
GO:0016779,2007,4,nucleotidyltransferase activity
GO:0045182,1993,1,translation regulator activity
GO:0004497,1975,3,monooxygenase activity
GO:0015078,1952,6,proton transmembrane transporter activity
GO:0019842,1947,3,vitamin binding
GO:0030695,1926,4,GTPase regulator activity
GO:0061630,1913,5,ubiquitin protein ligase activity
GO:0017171,1895,4,serine hydrolase activity
GO:0016825,1895,3,"hydrolase activity, acting on acid phosphorus-nitrogen bonds"
GO:0004721,1888,3,phosphoprotein phosphatase activity
GO:0004386,1884,8,helicase activity
